anime_id,mal_id,title,english_title,japanese_title,user_preferred_title,type,episodes,duration,status,source,season,season_year,studios,main_studios,genres,tags,rating,score,mean_score,scored_by,rank,popularity,popularity_rank,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis,country_of_origin,is_licensed,hashtag,cover_image_large,cover_image_color,banner_image,trailer_site,trailer_id,main_characters,main_staff,streaming_sites,is_adult,synonyms,site_url,updated_at,collected_at,data_source
7779,7779.0,Andersen Monogatari,Hans Christian Andersen Stories,アンデルセン物語,Andersen Monogatari,TV,52.0,24,FINISHED,OTHER,WINTER 1971,1971,Mushi Production;Fuji TV,Mushi Production,Fantasy,Classic Literature;Fairy Tale;Anthology;Animals;Kids,,59.0,67,0,0,488,0,488,5,21,149,17,58,243,1971-01-03,1971-12-26,,,Adaptations of numerous stories written by Hans Christian Andersen.,JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b7779-XGr6aZLX4i7F.jpg,#f10d5d,,,,,Hans Christian Andersen (Original Creator);Shuuichi Seki (Character Design);Toshihide Takeuchi (Art Director);Tateo Haraya (Director of Photography);Harutoshi Ogata (Editing),,False,Pixi in Wolkenkuckucksheim;Il paese del c'era una volta;لمياء وتابعها شيكو,https://anilist.co/anime/7779,1754013384,2025-08-17T04:33:26.896326+00:00,anilist
3683,3683.0,Kabatotto,Hippo and Thomas,カバトット,Kabatotto,TV_SHORT,300.0,5,FINISHED,,WINTER 1971,1971,,,Comedy,,,48.0,54,0,0,260,0,260,6,14,109,13,37,87,1971-01-01,1972-09-30,,,"Thomas is a cunning bird who sponges on Hyppo, the good-natured hippopotamus. Although Thomas is a dependent, living in Hyppo's big mouth, he always acts lordly and tries to outsmart his simpleminded host. However, their basic friendship and cooperation endures despite their frequent quarrels. The two play a prime role in this comic series, short yet full of originality. <br><br> (Source: Tatsunoko website)",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b3683-YeOYrNbGtCL2.png,#861a35,,,,Kaba,Hiroshi Sasagawa (Director);Yuuji Nunokawa (Chief Animation Director),,False,Kabba Totto;Tic Tac Toons;Ippotommaso,https://anilist.co/anime/3683,1754724148,2025-08-17T04:33:26.896439+00:00,anilist
17457,17457.0,Chingou Muchabee,,珍豪ムチャ兵衛,Chingou Muchabee,TV,26.0,26,FINISHED,,WINTER 1971,1971,Tokyo Movie Shinsha;TBS,,Adventure;Comedy,Historical;Samurai;Achromatic,,,46,0,0,214,0,214,2,11,60,9,47,87,1971-02-15,1971-03-22,,,A goofy comedy series with various stories featuring the same set of characters.<br><br> (Source: AniDB),JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/17457.jpg,#e45043,,,,,Masaki Tsuji (Script);Shingo Araki (Storyboard),,False,Chingo Muchabei,https://anilist.co/anime/17457,1755327550,2025-08-17T04:33:26.896488+00:00,anilist
139939,23347.0,Gan to Gon,,ガンとゴン,Gan to Gon,TV_SHORT,260.0,5,FINISHED,ORIGINAL,WINTER 1971,1971,Jihou Eigasha;Studio Pasa,Studio Pasa,Comedy,,,,42,0,0,109,0,109,2,12,28,6,27,36,1974-04-05,1975-08-13,,,"Gan to Gon is a Japanese comedy anime series produced by Jiho Eigasha. Its 260 episodes were aired from April 5, 1974 to August 13, 1975, at a length of around five minutes each.",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx139939-Usf9k3TfKdXm.png,#e4935d,,,,Gan;Gon;Lara,Takao Suzuki (Key Animation),,False,Gan and Gon,https://anilist.co/anime/139939,1755085745,2025-08-17T04:33:26.896532+00:00,anilist
3842,3842.0,Doubutsu Takarajima,Animal Treasure Island,どうぶつ宝島,Doubutsu Takarajima,MOVIE,1.0,75,FINISHED,OTHER,SPRING 1971,1971,Toei Animation;Discotek,,Adventure,Pirates;Animals;Anthropomorphism;Kids;Ships;Slapstick;Travel;Primarily Animal Cast;Anachronism,,61.0,63,0,0,1323,0,1323,11,33,664,14,36,576,1971-03-20,1971-03-20,,,"Jim and his mouse friend Gran toll away working as innkeepers. They dream of sailing far away on their own boat. One day, a mysterious fellow appears at the inn and gives them a map. It's the map to Treasure Island. So they decide to make their own boat, and sail away treasure hunting. But it’s not as easy as they think when the run into a group of unsavory pirates led by the dastardly Captain Silver. Silver wants the treasure for himself, and it is up to Jim, Gran, and their new friend Kathy, to beat him to it.<br> <br> (Source: Discotek)",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3842-ZyFg07J2Jdb8.jpg,#ff5000,,,,Gran;Jim;Cathy;Otto;Danshaku,Robert Stevenson (Original Creator);Hiroshi Ikeda (Director);Hayao Miyazaki (Idea Composition);Norio Hikone (Title Logo Composition);Isamu Tsuchida (Art Director),,False,Les Joyeux pirates de l'île au trésor;Dzieci wśród piratów;Wyspa skarbów;Jakten på Skattkammarön,https://anilist.co/anime/3842,1755341927,2025-08-17T04:33:26.896623+00:00,anilist
3819,3819.0,Sasurai no Taiyou,,さすらいの太陽,Sasurai no Taiyou,TV,26.0,24,FINISHED,MANGA,SPRING 1971,1971,Mushi Production;Fuji TV,Mushi Production,Drama;Music,Travel;Philosophy;Bullying;Female Protagonist;Coming of Age;Shoujo;Idol;Revenge;Family Life;Yakuza,,63.0,67,0,0,1210,0,1210,19,65,354,33,83,675,1971-04-08,1971-09-30,,,"Two baby girls were born in the same hospital: one of them is the daughter of an aristocratic family while the other belongs to a depraved household which lives in the slums of the city. However, the nurse-in-charge, Michiko, secretly switches the two babies due to a personal grudge, resulting in a change of fates of the girls from then on. Many years later, the lives of the two girls continue to be intertwined with each other, with the rich Miki ill-treating the poor Nozomi, yet both of them hold similar dreams to become a singer. <br><br> (Source: Anime News Network)",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b3819-jlc3y5Nz90Sz.png,#e4bb5d,,,,Miki Kouda;Nozomi Mine,"Keisuke Fujikawa (Original Story);Keisuke Fujikawa (Script (eps 3, 7, 13));Tadaaki Yamazaki (Script (eps 2, 6, 8, 9, 11, 14));Yoshiyuki Tomino (Storyboard (eps 13, 14, 17, 20, 22, 23, 26));Yoshikazu Yasuhiko (Design Assistance)",,False,Wandering Sun;Nathalie Sasurai no Taiyo;Nozomi in the Sun,https://anilist.co/anime/3819,1755375395,2025-08-17T04:33:26.896677+00:00,anilist
8436,8436.0,Ketsudan,,アニメンタリー 決断,Ketsudan,TV,26.0,25,FINISHED,,SPRING 1971,1971,Tatsunoko Production,,Drama,War;Historical;Military;Ships,,53.0,59,0,0,767,0,767,7,45,152,23,74,473,1971-04-03,1971-09-25,,,A strict retelling of the Pacific side of WW2.  ,JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b8436-bZ9fpaqc1tEv.png,#f16b50,,,,,Noboru Kojima (Original Creator);Ippei Kuri (Chief Director);Noboru Kojima (Supervisor);Jinzou Toriumi (Series Composition);Tatsuo Yoshida (Character Design),,False,Animentary: Ketsudan;Animentary: The Decision,https://anilist.co/anime/8436,1754189502,2025-08-17T04:33:26.896720+00:00,anilist
9164,9164.0,Attack No.1: Namida no Fushichou,,アタックNo.1 涙の不死鳥,Attack No.1: Namida no Fushichou,MOVIE,1.0,60,FINISHED,,SPRING 1971,1971,Tokyo Movie Shinsha,,Drama;Sports,Shoujo;Volleyball;Female Protagonist;Primarily Female Cast,,49.0,54,0,0,325,0,325,0,6,156,8,27,128,1971-03-17,1971-03-17,,,,JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/9164.jpg,#c9e428,,,,,Chikako Urano (Original Creator);Takeo Watanabe (Music),,False,,https://anilist.co/anime/9164,1754605586,2025-08-17T04:33:26.896756+00:00,anilist
138804,30965.0,Ninpuu Kamui Gaiden: Tsukihigai no Maki,,忍風カムイ外伝 月日貝の巻,Ninpuu Kamui Gaiden: Tsukihigai no Maki,MOVIE,1.0,90,FINISHED,MANGA,SPRING 1971,1971,,,Action;Adventure;Drama,Seinen,,,38,0,0,167,0,167,1,6,47,5,17,92,1971-03-20,1971-03-20,,,"A theatrical edited release of episode 21-26, which depicts the fierce battle between the main character Kamui and the the ninja pursuing him.",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b138804-spnGwpsuUpLE.jpg,#e4ae78,,,,Kamui,Sanpei Shirato (Original Creator),,False,Kamui the Ninja Movie,https://anilist.co/anime/138804,1754737590,2025-08-17T04:33:26.896789+00:00,anilist
19683,19683.0,Kick no Oni (1971),,キックの鬼 (1971),Kick no Oni (1971),MOVIE,1.0,25,FINISHED,,SPRING 1971,1971,,,Sports,Shounen;Martial Arts,,,39,0,0,134,0,134,0,4,44,1,22,63,1971-03-20,1971-03-20,,,Kick no Oni Movie.,JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/19683.jpg,#ae5d35,,,,Tadashi Sawamura,Ikki Kajiwara (Original Creator);Kentaro Nakajou (Original Creator),,False,,https://anilist.co/anime/19683,1753832141,2025-08-17T04:33:26.896822+00:00,anilist
3843,3843.0,Ali Baba to 40-hiki no Touzoku,Ali Baba and the Forty Thieves,アリババと４０匹の盗賊,Ali Baba to 40-hiki no Touzoku,MOVIE,1.0,55,FINISHED,,SUMMER 1971,1971,Toei Animation,,Action;Fantasy,Animals,,52.0,55,0,0,678,0,678,2,14,379,10,32,243,1971-07-08,1971-07-08,,,"A film produced for Toei's 20th anniversary. A boy who is the descendant of the leader of the theives who met a grisly fate in the 1001 Nights bands together with 38 cats and a mouse to get back his rightful treasure from Ali Baba XXXIII, the descendent of Ali Baba who now rules the kingdom with an iron fist. This is a reversal of the good guy/bad guy roles in the original story! (perhaps not surprising for being a film in which Hayao Miyazaki was involved) This film is one of the most rollicking and action-packed films made by Toei, and is in an outrageously cartoonish style breaking with the Toei mold. It has a spectacular lineup of animators including Yasuji Mori, Akira Daikubara, Hayao Miyazaki, Yoichi Kotabe and Reiko Okuyama. The original story about Ali Baba and the 40 Thieves itself is recounted at one point in the film in an unexpected and interesting way using shadow-puppets. <br><br> (Source: pelleas.net) ",JP,True,,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/3843.jpg,#e4c943,,,,,Hiroshi Shidara (Director);Saburo Yokoi (Art Director);Seiichirou Uno (Music);Morihisa Yamamoto (Script);Akira Daikuhara (Animation Director),,False,Ali Baba to Yonju-hiki no Touzoku;Alibaba's Revenge,https://anilist.co/anime/3843,1754016634,2025-08-17T04:33:26.896862+00:00,anilist
