anime_id,title,english_title,japanese_title,type,episodes,duration,status,source,season,studios,genres,rating,score,scored_by,rank,popularity,members,favorites,watching,completed,on_hold,dropped,plan_to_watch,start_date,end_date,broadcast_day,broadcast_time,synopsis
17467,Otoko Ippiki Gaki Daishou,,男一匹ガキ大将,tv,156,600,finished_airing,manga,fall 1969,Tokyo TV Douga,Action;Delinquents;Drama;Shounen,pg_13,6.93,329,5229,13459,0,0,0,0,0,0,0,1969-09-29,1970-03-28,,,"TV anime adaptation of Motomiya Hiroshi's manga ""Otoko Ippiki Gaki Daishou"" about young gang leader and all the trouble and fights his gang gets into, serialized in Weekly Shonen Jump.  (Source: AniDB)"
3009,Tiger Mask,Tiger Mask,タイガーマスク,tv,105,1380,finished_airing,manga,fall 1969,Toei Animation,Combat Sports;Drama;Shounen;Sports,pg_13,7.33,4454,3006,6814,0,0,0,0,0,0,0,1969-10-02,1971-09-30,,,"Tiger Mask (whose real name was Naoto Date) was a feared heel wrestler in America who was extremely vicious in the ring. However, he became a face after returning to Japan when a young boy said that he wanted to be a villain like Tiger Mask when he grew up. The boy resided in an orphanage, the same one that Tiger Mask grew up in during his childhood. Feeling that he did not want the boy to idolize a villain, Tiger was inspired to be a heroic wrestler.  The main antagonist in the manga and anime was Tigers' Den, a mysterious organization that trained young people to be villainous heel wrestlers on the condition that they gave half of their earnings to the organization. Tiger Mask was once a member of Tigers' Den under the name ""Yellow Devil"", but no longer wanted anything to do with them, instead donating his money to the orphanage. This infuriated the leader of the organization and he sent numerous assassins, including other professional wrestlers, to punish him.  (Source: Wikipedia) "
9163,Attack No.1 (1970),,アタックNo.1 (1970),movie,1,3900,finished_airing,,winter 1970,Tokyo Movie Shinsha,Drama;Shoujo;Sports;Team Sports,pg_13,6.16,476,10043,13502,0,0,0,0,0,0,0,1970-03-21,1970-03-21,,,"The first recap film of Attack No.1 , it covers the first 6 episodes of the TV anime.  Kozue is a high school girl and an enthusiastic volleyball player. Her dream is to play on the Japanese national volleyball team. Over the course of the series she makes it from the school district league up to the Japanese volleyball finals, step by step until the international volleyball championship. But the faster and higher Kozue climbs, the more she is confronted with the dark side of success: too-high expectations, self-conceit, and envy.  (Source: ANN)"
2830,Chibikko Remi to Meiken Kapi,,ちびっ子レミと名犬カピ,movie,1,4860,finished_airing,novel,winter 1970,Toei Animation,Adventure;Drama,g,5.84,399,11801,14224,0,0,0,0,0,0,0,1970-03-17,1970-03-17,,,"Based on Sans Famille by Hector Malot.  This is a faithful if compressed adaptation, telling the story of Remi who is sold off to Vitalis the travelling musician and his band of performing animals. It has musical numbers typical this era of Toei films, some awkward slapstic, plenty of scenes tailored to pull on the heartstrings, and very smooth animation. Overall a pleasant film that's interesting to watch for the technical aspects; but the story leaves much to be desired, being on the melodramatic-maudlin side. The later Dezaki/Sugino version is very different, with 52 episodes for the story to breathe in and far more compelling storytelling.  (Source: AniDB)"
18061,Tiger Mask (Movie),,タイガーマスク,movie,1,2820,finished_airing,manga,winter 1970,,Combat Sports;Shounen;Sports,pg_13,6.2,326,9877,14366,0,0,0,0,0,0,0,1970-03-17,1970-03-17,,,Re-edit of Episode 9&10.
17445,Kyojin no Hoshi: Dai League Ball,,巨人の星 大リーグボール,movie,1,4200,finished_airing,,winter 1970,,Drama;Sports;Team Sports,g,6.03,148,10820,16799,0,0,0,0,0,0,0,1970-03-21,1970-03-21,,,Third Kyojin no Hoshi movie.
22221,Monoshiri Daigaku: Ashita no Calendar,,ものしり大学　明日のカレンダー,tv,1274,300,finished_airing,original,summer 1966,,Historical,g,5.72,237,12442,15623,0,0,0,0,0,0,0,1966-07-01,1970-08-02,other,18:55,"Another continuation of Instant History with a new title. This time it was sponsored by Kirin, a brewery company in Japan.  (Source: Cartoon Research)"
8899,Kaitei Shounen Marine,Marine Boy,海底少年マリン,tv,65,1500,finished_airing,,winter 1969,TV Douga,Action;Adventure;Kids;Sci-Fi,pg,6.64,383,7063,14434,0,0,0,0,0,0,0,1969-01-13,1971-09-02,other,17:00,"Yet another expansion of the Marine Boy series. This time 65 episodes were added to the 1966 series and all 78 episodes were sold to the US. The broadcast history of the show in Japan was slightly more complicated, with only the first 36 episodes of the 78 shown at first but later on all 78 were shown, out of which 65 are contained in this entry and 13 in the Ganbare! Marine Kid series.   Marine is now equipped with an underwater boomerang, a hydrojet, and the mermaid Neptuna/Neptina has become his girlfriend. Some previous episodes from Ganbare! Marine Kid had their footage recycled in part for this series.   (Source: The Anime Encyclopedia) "
2406,Sazae-san,Mrs. Sazae,サザエさん,tv,0,1440,currently_airing,4_koma_manga,fall 1969,Eiken,Comedy,g,6.16,2052,10088,7224,0,0,0,0,0,0,0,1969-10-05,,sunday,18:30,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults.   (Source: AniDB)"
2892,Hakushon Daimaou,Bob in the Bottle,ハクション大魔王,tv,52,1511,finished_airing,original,fall 1969,Tatsunoko Production,Comedy;Fantasy,g,6.32,1098,9104,11790,0,0,0,0,0,0,0,1969-10-05,1970-09-27,,,"One day Kan-chan finds a magic bottle in the attic. Whenever someone sneezes, a genie named Hakushon Daimaou is brought out and must grant any wish of whoever sneezed until he or she sneezes again. Sometimes, however, he accidentally fails and only causes trouble instead of granting any wishes."
8234,Muumin,,ムーミン,tv,65,1500,finished_airing,book,fall 1969,Mushi Production;Tokyo Movie,Adventure;Fantasy;Slice of Life,g,7.16,2553,4001,8117,0,0,0,0,0,0,0,1969-10-05,1970-12-27,sunday,19:30,"Very loosely based upon the Moomin books by Finnish author Tove Jansson. Jansson, however, never really approved of the series due to dramatic changes in plot, atmosphere, character personality, appearance and names etc. The series was directed to adults rather than children.  (Source: Wikipedia)"
1550,Attack No.1,,アタックNo.1,tv,104,1440,finished_airing,manga,winter 1970,Tokyo Movie Shinsha,Drama;School;Shoujo;Sports;Team Sports,pg_13,6.84,4168,5714,7081,0,0,0,0,0,0,0,1969-12-07,1971-11-28,sunday,19:00,"Kozue is a middleschool girl and enthusiastic volleyball player. Her dream is to play in the Japanese national volleyball team. During the series she makes it from the school district league up to the Japanese volleyball finals, step by step till the international volleyball championship. But the faster and higher Kozue climbs the career ladder up, the more she gets confronted with the dark side of success: too high expectations, self-conceit and envy are progressing towards serious problems.  (Source: ANN)"
3285,Himitsu no Akko-chan,Secrets of Akko-chan,ひみつのアッコちゃん,tv,94,1460,finished_airing,manga,winter 1969,Toei Animation,Comedy;Mahou Shoujo;School;Shoujo,g,6.68,1013,6793,10175,0,0,0,0,0,0,0,1969-01-06,1970-10-26,monday,19:00,"Atsuko ""Akko-chan"" Kagami (known variously as ""Stilly,"" ""Caroline,"" or ""Julie"" in Western versions of the anime) is an energetic elementary school girl who has an affinity for mirrors. One day, her favorite mirror which was given to Akko by her mother (or in some versions, by her father, as a present from India) is broken, and she prefers to bury it in her yard rather than throw it to the trash can. In her dreams, she is contacted by a spirit (or in some cases the Queen of the Mirror Kingdom) who is moved that the little girl would treat the mirror so respectfully and not simply throw it away. Akko-chan is then given the gift of a magical mirror and taught an enchantment that will allow her to transform into anything she wishes.  (Source: Wikipedia)"
5834,Kyojin no Hoshi,,巨人の星,tv,182,1500,finished_airing,manga,spring 1968,TMS Entertainment,Drama;Shounen;Sports;Team Sports,g,7.07,692,4515,10625,0,0,0,0,0,0,0,1968-03-30,1971-09-18,saturday,19:00,"The story is about Hyuma Hoshi, a promising young baseball pitcher who dreams of becoming a top star like his father Ittetsu Hoshi in the professional Japanese league. His father was once a 3rd baseman until he was injured in World War II and was forced to retire. The boy would join the ever popular Giants team, and soon he realized the difficulty of managing the high expectations. From the grueling training to battling the rival Mitsuru Hanagata on the Hanshin Tigers, he would have to take out his best pitching magic to step up to the challenge.  (Source: Wikipedia)"
25627,"""Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta Inu",,"""いそっぷ""のおはなしより 牛とかえる, よくばった犬",movie,1,720,finished_airing,,winter 1970,,Kids,pg,5.49,172,13377,16696,0,0,0,0,0,0,0,1970-03-21,1970-03-21,,,Based on Aesop's Fables. 
21711,Il torero Camomillo,,トレロ カモミロ,music,1,140,finished_airing,music,winter 1970,,Kids;Music,g,4.79,249,0,18708,0,0,0,0,0,0,0,1970-02,1970-02,,,"An adaptation of the winning song from the 10th Zecchino d'Oro in 1968, an Italian hosted international children's song festival. The song was ""Il torero Camomillo"" by Michele Grandolfo."
12789,Yasashii Lion,,やさしいライオン,movie,1,1620,finished_airing,picture_book,winter 1970,Mushi Production,Award Winning;Fantasy;Kids;Music,g,5.53,543,13271,14480,0,0,0,0,0,0,0,1970-03-21,1970-03-21,,,"This is an animated version of Yanase Takashi's picture book featuring the friendship between a mother dog, Muku-muku, who lost her puppy, and the baby lion Buru-buru, who lost her mother. Although Tezuka Osamu planned to create an entire musical animated series for this story focused on the feelings of the mother dog and baby lion, this animated production was the only one never completed.   (Source: Official Tezuka site) "
58290,Aitsu,,あいつ,music,1,0,finished_airing,original,winter 1970,,Kids;Music,g,0.0,26,0,26010,0,0,0,0,0,0,0,1970-02,1970-02,,,Music video for the song Aitsu by Duke Aces that was featured on NHK's Minna no Uta program. It is considered to be lost media.
58010,Umi wo Watatta Shika,,海を渡った鹿,music,1,0,finished_airing,original,winter 1970,,Kids;Music,g,0.0,16,0,27670,0,0,0,0,0,0,0,1970-02,1970-02,,,Music video for the song Umi wo Watatta Shika by the Tokyo Shounen Shoujo Gasshoutai that was featured on NHK's Minna no Uta program. It is considered to be lost media.
36380,Power Powan,,ポワ ポワーン,music,1,137,finished_airing,original,winter 1970,,Kids;Music,g,0.0,50,0,22806,0,0,0,0,0,0,0,1970-02-03,1970-02-03,,,
20005,Pinch to Punch,,ピンチとパンチ,tv,156,300,finished_airing,,fall 1969,,Comedy,g,0.0,101,19742,17636,0,0,0,0,0,0,0,1969-09-29,1970-03-28,,,A comedy about two goofy twins in the armed forces.  (Source: AniDB)
